/home/simba/.virtualenvs/QIP/lib/python3.12/site-packages/cotengra/hyperoptimizers/hyper.py:36: UserWarning: Couldn't import `kahypar` - skipping from default hyper optimizer and using basic `labels` method instead. `kahypar` is highly recommended for the best quality contraction paths.
  warnings.warn(
  p=0.02   seed=1 X@3: L= 6 maxS1=4.8510 (bond 4, S0=5.55, Sinf=3.58)
  p=0.02   seed=1 X@3: L= 7 maxS1=4.9570 (bond 4, S0=5.55, Sinf=3.88)
  p=0.02   seed=1 X@3: L= 8 maxS1=4.9914 (bond 4, S0=5.55, Sinf=3.97)
  p=0.02   seed=1 X@3: L= 9 maxS1=5.0050 (bond 4, S0=5.55, Sinf=3.93)
  p=0.02   seed=1 X@3: L=10 maxS1=5.0233 (bond 4, S0=5.55, Sinf=4.08)
  p=0.02   seed=1 Z@3: L= 1 maxS1=1.3533 (bond 4, S0=1.39, Sinf=1.09)
  p=0.02   seed=1 Z@3: L= 2 maxS1=2.0998 (bond 4, S0=2.77, Sinf=1.34)
  p=0.02   seed=1 Z@3: L= 3 maxS1=3.2227 (bond 4, S0=4.16, Sinf=2.19)
  p=0.02   seed=1 Z@3: L= 4 maxS1=3.9990 (bond 4, S0=5.55, Sinf=2.57)
  p=0.02   seed=1 Z@3: L= 5 maxS1=4.6172 (bond 4, S0=5.55, Sinf=3.20)
  p=0.02   seed=1 Z@3: L= 6 maxS1=4.8688 (bond 4, S0=5.55, Sinf=3.61)
  p=0.02   seed=1 Z@3: L= 7 maxS1=4.9725 (bond 4, S0=5.55, Sinf=3.91)
  p=0.02   seed=1 Z@3: L= 8 maxS1=5.0005 (bond 4, S0=5.55, Sinf=3.97)
  p=0.02   seed=1 Z@3: L= 9 maxS1=5.0105 (bond 4, S0=5.55, Sinf=4.00)
  p=0.02   seed=1 Z@3: L=10 maxS1=5.0310 (bond 4, S0=5.55, Sinf=4.13)
  p=0.02   seed=1 X@1: L= 1 maxS1=1.2275 (bond 1, S0=1.39, Sinf=0.76)
  p=0.02   seed=1 X@1: L= 2 maxS1=2.0806 (bond 2, S0=2.71, Sinf=1.25)
  p=0.02   seed=1 X@1: L= 3 maxS1=2.2297 (bond 2, S0=2.77, Sinf=1.36)
  p=0.02   seed=1 X@1: L= 4 maxS1=2.9241 (bond 3, S0=4.16, Sinf=2.03)
  p=0.02   seed=1 X@1: L= 5 maxS1=3.8441 (bond 4, S0=5.55, Sinf=2.02)
  p=0.02   seed=1 X@1: L= 6 maxS1=4.4081 (bond 4, S0=5.55, Sinf=2.44)
  p=0.02   seed=1 X@1: L= 7 maxS1=4.7066 (bond 4, S0=5.55, Sinf=3.15)
  p=0.02   seed=1 X@1: L= 8 maxS1=4.8527 (bond 4, S0=5.55, Sinf=3.46)
  p=0.02   seed=1 X@1: L= 9 maxS1=4.9047 (bond 4, S0=5.55, Sinf=3.61)
  p=0.02   seed=1 X@1: L=10 maxS1=4.9784 (bond 4, S0=5.55, Sinf=3.85)
  p=0.03   seed=0 X@3: L= 1 maxS1=1.3011 (bond 2, S0=1.39, Sinf=0.86)
  p=0.03   seed=0 X@3: L= 2 maxS1=2.3380 (bond 2, S0=2.77, Sinf=1.64)
  p=0.03   seed=0 X@3: L= 3 maxS1=3.1632 (bond 4, S0=4.16, Sinf=1.60)
  p=0.03   seed=0 X@3: L= 4 maxS1=4.0089 (bond 4, S0=5.55, Sinf=2.37)
  p=0.03   seed=0 X@3: L= 5 maxS1=4.4289 (bond 4, S0=5.55, Sinf=2.80)
  p=0.03   seed=0 X@3: L= 6 maxS1=4.5969 (bond 4, S0=5.55, Sinf=3.06)
  p=0.03   seed=0 X@3: L= 7 maxS1=4.7478 (bond 4, S0=5.55, Sinf=3.16)
  p=0.03   seed=0 X@3: L= 8 maxS1=4.9347 (bond 4, S0=5.55, Sinf=3.57)
  p=0.03   seed=0 X@3: L= 9 maxS1=4.9848 (bond 4, S0=5.55, Sinf=3.75)
  p=0.03   seed=0 X@3: L=10 maxS1=5.0084 (bond 4, S0=5.55, Sinf=3.84)
  p=0.03   seed=0 Z@3: L= 1 maxS1=1.2055 (bond 2, S0=1.39, Sinf=0.75)
  p=0.03   seed=0 Z@3: L= 2 maxS1=2.2457 (bond 4, S0=2.77, Sinf=1.48)
  p=0.03   seed=0 Z@3: L= 3 maxS1=3.4327 (bond 4, S0=4.16, Sinf=2.28)
  p=0.03   seed=0 Z@3: L= 4 maxS1=4.3265 (bond 4, S0=5.55, Sinf=2.83)
  p=0.03   seed=0 Z@3: L= 5 maxS1=4.6885 (bond 4, S0=5.55, Sinf=3.20)
  p=0.03   seed=0 Z@3: L= 6 maxS1=4.8024 (bond 4, S0=5.55, Sinf=3.29)
  p=0.03   seed=0 Z@3: L= 7 maxS1=4.8839 (bond 4, S0=5.55, Sinf=3.38)
  p=0.03   seed=0 Z@3: L= 8 maxS1=4.9817 (bond 4, S0=5.55, Sinf=3.71)
  p=0.03   seed=0 Z@3: L= 9 maxS1=5.0088 (bond 4, S0=5.55, Sinf=3.94)
  p=0.03   seed=0 Z@3: L=10 maxS1=5.0173 (bond 4, S0=5.55, Sinf=3.98)
  p=0.03   seed=0 X@1: L= 1 maxS1=1.3626 (bond 2, S0=1.39, Sinf=1.09)
  p=0.03   seed=0 X@1: L= 2 maxS1=1.9830 (bond 2, S0=2.77, Sinf=1.33)
  p=0.03   seed=0 X@1: L= 3 maxS1=2.5425 (bond 2, S0=2.77, Sinf=1.74)
  p=0.03   seed=0 X@1: L= 4 maxS1=3.2828 (bond 3, S0=4.16, Sinf=2.19)
  p=0.03   seed=0 X@1: L= 5 maxS1=3.8905 (bond 4, S0=5.55, Sinf=2.46)
  p=0.03   seed=0 X@1: L= 6 maxS1=4.2207 (bond 4, S0=5.55, Sinf=2.69)
  p=0.03   seed=0 X@1: L= 7 maxS1=4.5149 (bond 4, S0=5.55, Sinf=2.92)
  p=0.03   seed=0 X@1: L= 8 maxS1=4.8656 (bond 4, S0=5.55, Sinf=3.37)
  p=0.03   seed=0 X@1: L= 9 maxS1=4.9403 (bond 4, S0=5.55, Sinf=3.49)
  p=0.03   seed=0 X@1: L=10 maxS1=4.9844 (bond 4, S0=5.55, Sinf=3.60)
  p=0.03   seed=1 X@3: L= 1 maxS1=1.1782 (bond 4, S0=1.39, Sinf=0.61)
  p=0.03   seed=1 X@3: L= 2 maxS1=2.1582 (bond 2, S0=2.77, Sinf=1.67)
  p=0.03   seed=1 X@3: L= 3 maxS1=3.0352 (bond 4, S0=4.16, Sinf=1.78)
  p=0.03   seed=1 X@3: L= 4 maxS1=3.8335 (bond 4, S0=5.55, Sinf=2.59)
  p=0.03   seed=1 X@3: L= 5 maxS1=4.5430 (bond 4, S0=5.55, Sinf=3.18)
  p=0.03   seed=1 X@3: L= 6 maxS1=4.8089 (bond 4, S0=5.55, Sinf=3.37)
  p=0.03   seed=1 X@3: L= 7 maxS1=4.9248 (bond 4, S0=5.55, Sinf=3.68)
  p=0.03   seed=1 X@3: L= 8 maxS1=4.9647 (bond 4, S0=5.55, Sinf=3.76)
  p=0.03   seed=1 X@3: L= 9 maxS1=4.9768 (bond 4, S0=5.55, Sinf=3.65)
